name,Aerosol types,INSO,WASO,SOOT,SSAM,SSCM,MINM,MIAM,MICM,MITR,SUSO
COCL,Continental clean,0.15,2600.,0.,0.,0.,0.,0.,0.,0.,0.
COAV,Continental averaged,0.4,7000.,8300.,0.,0.,0.,0.,0.,0.,0.
COPO,Continental polluted,0.6,15700.,34300.,0.,0.,0.,0.,0.,0.,0.
URBA,Urban,1.5,28000.,130000.,0.,0.,0.,0.,0.,0.,0.
DESE,Desert,0.,2000.,0.,0.,0.,269.5,30.5,0.142,0.,0.
MACL,Maritime clean,0.,1500.,0.,20.,3.20E-03,0.,0.,0.,0.,0.
MAPO,Maritime polluted,0.,3800.,5180.,20.,3.20E-03,0.,0.,0.,0.,0.
MATR,Maritime tropical,0.,590.,0.,10.,1.30E-03,0.,0.,0.,0.,0.
ARCT,Arctic,0.01,1300.,5300.,1.9,0.,0.,0.,0.,0.,0.
ANTA,Antarctic,0.,0.,0.,0.047,0.,0.,0.,0.,0.0053,42.9
